Date,Close/Last,Volume,Open,High,Low
2020-05-16,77.278,171876168.62,75.495,77.335,75.464
2020-05-17,78.5,162142923.877,77.141,78.314,76.632
2020-05-18,78.74,135372520.0,78.292,79.125,77.581
2020-05-19,78.285,101729560.0,78.758,79.63,78.252
2020-05-20,79.808,111504880.0,79.17,79.88,79.05
2020-05-21,79.212,102688840.0,79.665,80.222,78.968
2020-05-22,79.722,81803000.0,78.942,79.808,78.838
2020-05-23,79.973,79966749.354,79.067,79.98,78.977
2020-05-24,79.613,101972142.017,80.433,80.997,79.41
2020-05-25,79.173,124822663.671,81.536,81.733,79.628
2020-05-26,79.182,125521800.0,80.875,81.06,79.125
2020-05-27,79.528,112945080.0,79.035,79.678,78.272
2020-05-28,79.562,133796400.0,79.192,80.86,78.908
2020-05-29,79.485,153598120.0,79.812,80.288,79.118
2020-05-30,79.655,141455943.956,79.853,79.974,79.151
2020-05-31,80.078,101295836.075,79.373,80.297,79.147
2020-06-01,80.462,81018600.0,79.438,80.588,79.302
2020-06-02,80.835,87642800.0,80.186,80.86,79.732
2020-06-03,81.28,104491200.0,81.165,81.55,80.575
2020-06-04,80.58,87560360.0,81.098,81.405,80.195
2020-06-05,82.875,137250200.0,80.838,82.938,80.808
2020-06-06,83.701,141194151.167,81.217,83.29,81.295
2020-06-07,82.73,93742790.481,82.162,82.409,81.474
2020-06-08,83.365,95654520.0,82.562,83.4,81.83
2020-06-09,85.998,147712360.0,83.035,86.402,83.002
2020-06-10,88.21,166651760.0,86.975,88.692,86.522
2020-06-11,83.975,201662440.0,87.328,87.765,83.87
2020-06-12,84.7,200146040.0,86.18,86.95,83.556
2020-06-13,85.224,174849469.996,84.15,86.219,83.052
2020-06-14,84.722,138018799.195,81.894,85.653,82.059
2020-06-15,85.748,138808920.0,83.312,86.42,83.145
2020-06-16,88.02,165428720.0,87.865,88.3,86.18
2020-06-17,87.898,114406520.0,88.788,88.85,87.772
2020-06-18,87.932,96820400.0,87.852,88.362,87.305
2020-06-19,87.43,264475800.0,88.659,89.14,86.288
2020-06-20,87.374,292743840.395,88.317,89.102,85.729
2020-06-21,88.026,164648544.479,86.841,88.332,85.916
2020-06-22,89.718,135445280.0,87.835,89.865,87.788
2020-06-23,91.632,212155480.0,91.0,93.095,90.568
2020-06-24,90.015,192623400.0,91.25,92.198,89.63
2020-06-25,91.21,137522520.0,90.175,91.25,89.392
2020-06-26,88.408,205256840.0,91.102,91.33,88.255
2020-06-27,87.415,217528176.184,90.602,91.05,87.264
2020-06-28,89.007,157258477.55,88.557,90.374,86.822
2020-06-29,90.445,130646080.0,88.312,90.543,87.82
2020-06-30,91.2,140223280.0,90.02,91.495,90.0
2020-07-01,91.028,110737240.0,91.28,91.84,90.978
2020-07-02,91.028,114041480.0,91.962,92.618,90.91
2020-07-03,91.541,120951492.408,92.138,93.169,90.984
2020-07-04,92.593,123977906.031,91.81,93.345,91.387
2020-07-05,93.471,123189646.639,91.693,93.489,91.941
2020-07-06,93.462,118655640.0,92.5,93.945,92.468
2020-07-07,93.172,112424440.0,93.852,94.655,93.058
2020-07-08,95.342,117091880.0,94.18,95.375,94.09
2020-07-09,95.682,125642600.0,96.262,96.318,94.672
2020-07-10,95.92,90257320.0,95.335,95.98,94.705
2020-07-11,95.653,103377395.766,95.846,97.356,95.168
2020-07-12,94.994,167208146.782,97.973,100.231,95.936
2020-07-13,95.478,191649160.0,97.265,99.955,95.258
2020-07-14,97.058,170989360.0,94.84,97.255,93.878
2020-07-15,97.725,153197920.0,98.99,99.248,96.49
2020-07-16,96.522,110577680.0,96.562,97.405,95.905
2020-07-17,96.328,92186920.0,96.988,97.148,95.84
2020-07-18,97.142,83057414.044,96.688,97.378,95.844
2020-07-19,98.526,80142676.141,95.298,97.744,95.765
2020-07-20,98.358,90317920.0,96.416,98.5,96.062
2020-07-21,97.0,103645840.0,99.172,99.25,96.742
2020-07-22,97.272,89001640.0,96.692,97.975,96.602
2020-07-23,92.845,197004440.0,96.998,97.078,92.01
2020-07-24,92.615,185438880.0,90.988,92.97,89.145
2020-07-25,93.769,157779754.01,88.795,91.766,89.39
2020-07-26,95.186,138588329.045,91.55,93.892,92.134
2020-07-27,94.81,121214200.0,93.71,94.905,93.48
2020-07-28,93.252,103625520.0,94.368,94.55,93.248
2020-07-29,95.04,90329240.0,93.75,95.23,93.712
2020-07-30,96.19,158130040.0,94.188,96.298,93.768
2020-07-31,106.26,374295480.0,102.884,106.415,100.825
2020-08-01,111.263,471662436.548,107.948,112.35,105.738
2020-08-02,109.716,418402577.844,107.999,112.41,107.172
2020-08-03,108.938,308151400.0,108.2,111.636,107.892
2020-08-04,109.665,172792360.0,109.132,110.79,108.388
2020-08-05,110.062,121991960.0,109.378,110.392,108.898
2020-08-06,113.902,202428920.0,110.405,114.412,109.798
2020-08-07,111.112,198045600.0,113.205,113.675,110.292
2020-08-08,110.703,196711190.53,114.276,113.303,110.557
2020-08-09,113.438,213835678.974,113.356,114.088,110.583
2020-08-10,112.728,212403440.0,112.6,113.775,110.0
2020-08-11,109.375,187902360.0,111.969,112.482,109.107
2020-08-12,113.01,165944840.0,110.498,113.275,110.298
2020-08-13,115.01,210082080.0,114.43,116.042,113.928
2020-08-14,114.908,165565200.0,114.829,115.0,113.045
2020-08-15,114.506,134178723.425,115.373,114.664,112.668
2020-08-16,114.187,131775059.634,116.589,115.66,113.566
2020-08-17,114.608,119561440.0,116.062,116.088,113.962
2020-08-18,115.562,105633560.0,114.352,116.0,114.008
2020-08-19,115.708,145538000.0,115.983,117.162,115.61
2020-08-20,118.275,126907200.0,115.75,118.392,115.733
2020-08-21,124.37,338054640.0,119.262,124.868,119.25
2020-08-22,127.541,460012622.58,124.088,129.419,122.281
2020-08-23,127.124,440182969.659,128.821,130.679,123.949
2020-08-24,125.858,345937760.0,128.697,128.785,123.936
2020-08-25,124.825,211495800.0,124.698,125.179,123.052
2020-08-26,126.522,163022280.0,126.179,126.992,125.082
2020-08-27,125.01,155552400.0,127.142,127.485,123.832
2020-08-28,124.808,187629920.0,126.012,126.442,124.578
2020-08-29,124.976,226723698.211,125.118,126.591,124.489
2020-08-30,125.588,257779627.953,125.124,128.281,123.582
2020-08-31,129.04,225702700.0,127.58,131.0,126.0
2020-09-01,134.18,152470100.0,132.76,134.8,130.53
2020-09-02,131.4,200119000.0,137.59,137.98,127.0
2020-09-03,120.88,257599600.0,126.91,128.84,120.5
2020-09-04,120.96,332607200.0,120.07,123.7,110.89
2020-09-05,119.924,364771635.384,115.81,120.931,105.621
2020-09-06,115.231,342811842.189,113.269,119.716,106.01
2020-09-07,111.368,290439577.899,112.599,119.316,109.286
2020-09-08,112.82,231366600.0,113.95,118.99,112.68
2020-09-09,117.32,176940500.0,117.26,119.14,115.26
2020-09-10,113.49,182274400.0,120.36,120.5,112.5
2020-09-11,112.0,180860300.0,114.57,115.23,110.0
2020-09-12,112.412,159599594.122,111.084,112.342,109.658
2020-09-13,114.031,127657344.181,111.755,113.27,111.272
2020-09-14,115.355,140150100.0,114.72,115.93,112.8
2020-09-15,115.54,184642000.0,118.33,118.829,113.61
2020-09-16,112.13,155026700.0,115.23,116.0,112.04
2020-09-17,110.34,178011000.0,109.72,112.2,108.71
2020-09-18,106.84,287104900.0,110.4,110.88,106.09
2020-09-19,105.73,311438560.297,108.082,109.858,103.203
2020-09-20,107.497,241283347.111,102.686,109.001,100.611
2020-09-21,110.08,195713800.0,104.54,110.19,103.1
2020-09-22,111.81,183055400.0,112.68,112.86,109.16
2020-09-23,107.12,150718700.0,111.62,112.11,106.77
2020-09-24,108.22,167743300.0,105.17,110.25,105.0
2020-09-25,112.28,149981400.0,108.43,112.44,107.67
2020-09-26,114.848,145520628.507,112.09,114.352,110.119
2020-09-27,115.454,157459976.561,114.189,115.175,111.602
2020-09-28,114.96,137672400.0,115.01,115.32,112.78
2020-09-29,114.09,100060500.0,114.55,115.31,113.57
2020-09-30,115.81,142675200.0,113.79,117.26,113.62
2020-10-01,116.79,116120400.0,117.64,117.72,115.83
2020-10-02,113.02,144712000.0,112.89,115.37,112.22
2020-10-03,112.849,138228567.841,110.345,114.711,111.067
2020-10-04,116.542,92931800.122,111.742,116.069,113.198
2020-10-05,116.5,106243800.0,113.91,116.65,113.55
2020-10-06,113.16,161498200.0,115.7,116.12,112.25
2020-10-07,115.08,96848990.0,114.62,115.55,114.13
2020-10-08,114.97,83477150.0,116.25,116.4,114.59
2020-10-09,116.97,100506900.0,115.28,117.0,114.92
2020-10-10,120.433,136887563.959,114.859,119.204,116.126
2020-10-11,124.359,189378687.745,115.96,122.901,118.071
2020-10-12,124.4,240226800.0,120.06,125.18,119.284
2020-10-13,121.1,262330500.0,125.27,125.39,119.65
2020-10-14,121.19,151062300.0,121.0,123.03,119.62
2020-10-15,120.71,112559200.0,118.72,121.2,118.15
2020-10-16,119.02,115393800.0,121.28,121.548,118.81
2020-10-17,117.228,117618419.089,122.896,121.78,118.447
2020-10-18,115.75,115848511.395,122.525,121.449,116.74
2020-10-19,115.98,120639300.0,119.96,120.419,115.66
2020-10-20,117.51,124423700.0,116.2,118.98,115.63
2020-10-21,116.87,89945980.0,116.67,118.705,116.45
2020-10-22,115.75,101988000.0,117.45,118.04,114.59
2020-10-23,115.04,82572650.0,116.39,116.55,114.28
2020-10-24,114.317,85260292.674,114.983,115.728,113.512
2020-10-25,113.769,113003190.757,113.745,115.798,112.214
2020-10-26,115.05,111850700.0,114.01,116.55,112.88
2020-10-27,116.6,92276770.0,115.49,117.28,114.54
2020-10-28,111.2,143937800.0,115.05,115.43,111.1
2020-10-29,115.32,146129200.0,112.37,116.93,112.2
2020-10-30,108.86,190573500.0,111.06,111.99,107.72
2020-10-31,105.36,197426570.336,110.186,109.252,105.303
2020-11-01,106.992,158022456.17,109.501,109.952,106.132
2020-11-02,108.77,122866900.0,109.11,110.68,107.32
2020-11-03,110.44,107624400.0,109.66,111.49,108.73
2020-11-04,114.95,138235500.0,114.14,115.59,112.35
2020-11-05,119.03,126387100.0,117.95,119.62,116.869
2020-11-06,118.69,114457900.0,118.32,119.2,116.13
2020-11-07,117.845,123015850.048,119.758,120.338,115.888
2020-11-08,117.195,148039373.24,122.225,123.206,116.821
2020-11-09,116.32,154515300.0,120.5,121.99,116.05
2020-11-10,115.97,138023400.0,115.55,117.59,114.13
2020-11-11,119.49,112295000.0,117.19,119.63,116.44
2020-11-12,119.21,103350700.0,119.62,120.53,118.57
2020-11-13,119.26,81688590.0,119.44,119.672,117.87
2020-11-14,119.739,77977623.338,118.931,119.628,117.325
2020-11-15,120.362,92692776.249,118.618,120.565,117.471
2020-11-16,120.3,91183020.0,118.92,120.99,118.146
2020-11-17,119.39,74270970.0,119.55,120.674,118.96
2020-11-18,118.03,76322110.0,118.61,119.82,118.0
2020-11-19,118.64,74112970.0,117.59,119.06,116.81
2020-11-20,117.34,73604290.0,118.64,118.77,117.29
2020-11-21,115.577,89172063.672,119.445,118.741,116.957
2020-11-22,113.954,117737641.45,119.354,118.739,115.484
2020-11-23,113.85,127959300.0,117.18,117.62,113.75
2020-11-24,115.17,113874200.0,113.91,115.85,112.59
2020-11-25,116.03,76499230.0,115.55,116.75,115.17
2020-11-26,116.44,47808378.135,116.63,117.284,116.368
